Time,Date,Plot
13:55:07,7/19/24,-64
13:55:07,7/19/24,9
13:55:07,7/19/24,-1
13:55:07,7/19/24,64
13:55:08,7/19/24,0
13:55:08,7/19/24,-15
13:55:08,7/19/24,33
13:55:08,7/19/24,-3
13:55:08,7/19/24,89
13:55:09,7/19/24,43
13:55:09,7/19/24,58
13:55:09,7/19/24,49
13:55:09,7/19/24,23
13:55:09,7/19/24,50
13:55:10,7/19/24,-23
13:55:10,7/19/24,61
13:55:10,7/19/24,37
13:55:10,7/19/24,-29
13:55:10,7/19/24,82
13:55:11,7/19/24,-30
13:55:11,7/19/24,9
13:55:11,7/19/24,-32
13:55:11,7/19/24,-27
13:55:11,7/19/24,-10
13:55:12,7/19/24,-99
13:55:12,7/19/24,19
13:55:12,7/19/24,-16
13:55:12,7/19/24,-41
13:55:12,7/19/24,8
13:55:13,7/19/24,-48
13:55:13,7/19/24,-37
13:55:13,7/19/24,33
13:55:13,7/19/24,-71
13:55:13,7/19/24,-155
13:55:14,7/19/24,-84
13:55:14,7/19/24,-75
13:55:14,7/19/24,-116
13:55:14,7/19/24,-69
13:55:14,7/19/24,-53
13:55:15,7/19/24,-98
13:55:15,7/19/24,-144
13:55:15,7/19/24,-128
13:55:15,7/19/24,-133
13:55:15,7/19/24,-33
13:55:16,7/19/24,-1
13:55:16,7/19/24,-37
13:55:16,7/19/24,-17
13:55:16,7/19/24,-5
13:55:16,7/19/24,54
13:55:17,7/19/24,-91
13:55:17,7/19/24,27
13:55:17,7/19/24,88
13:55:17,7/19/24,-61
13:55:17,7/19/24,0
13:55:18,7/19/24,41
13:55:18,7/19/24,47
13:55:18,7/19/24,71
13:55:18,7/19/24,90
13:55:18,7/19/24,41
13:55:19,7/19/24,-4
13:55:19,7/19/24,58
13:55:19,7/19/24,58
13:55:19,7/19/24,10
13:55:19,7/19/24,1
13:55:20,7/19/24,86
13:55:20,7/19/24,40
13:55:20,7/19/24,95
13:55:20,7/19/24,-116
